from_polity_id,from_name,to_polity_id,to_name,territorial_direction,strength,shared_territories,shared_territory_count,same_ethnicity,related_ethnicity,same_language,same_religion,same_civilization,temporal_gap_years
british_raj,British Raj,republic_of_india,Republic of India,contraction,5,deccan|ganges_plain|punjab,3,0,0,0,0,0,0
umayyad_caliphate,Umayyad Caliphate,tulunid_dynasty,Tulunid Dynasty,contraction,5,egypt|levant,2,0,0,1,1,0,118
delhi_sultanate,Delhi Sultanate,sur_empire,Sur Empire,contraction,5,ganges_plain|punjab,2,0,0,1,0,0,14
carolingian_empire,Frankish Kingdom / Carolingian Empire,holy_roman_empire,Holy Roman Empire,contraction,5,germany|italy,2,0,0,1,1,0,119
abbasid_caliphate,Abbasid Caliphate,ilkhanate,Ilkhanate,contraction,5,iran_plateau|mesopotamia,2,0,0,0,1,0,-2
mongol_empire,Mongol Empire,timurid_empire,Timurid Empire,contraction,5,iran_plateau|khorasan|transoxiana,3,0,0,0,0,0,2
safavid_empire,Safavid Empire,qajar_dynasty,Qajar Dynasty,contraction,5,iran_plateau|khorasan,2,1,0,0,0,0,60
western_roman_empire,Western Roman Empire,ostrogothic_kingdom,Ostrogothic Kingdom of Italy,contraction,5,italy,1,0,0,1,1,0,17
kievan_rus,Kievan Rus,novgorod_republic,Novgorod Republic,contraction,5,kievan_rus,1,1,0,0,1,0,-104
empire_of_japan,Empire of Japan (Meiji),japanese_korea,Japanese-Occupied Korea,contraction,5,korean_peninsula,1,0,0,1,1,0,-37
abbasid_caliphate,Abbasid Caliphate,mamluk_sultanate,Mamluk Sultanate,contraction,5,levant,1,0,0,1,0,0,-8
mongol_empire,Mongol Empire,ming_dynasty,Ming Dynasty,contraction,5,manchuria|yangtze|yellow_river,3,0,0,0,0,0,0
qing_dynasty,Qing Dynasty (Manchu),republic_of_china,Republic of China,contraction,5,manchuria|yangtze|yellow_river,3,0,0,0,0,0,0
western_roman_empire,Western Roman Empire,vandal_kingdom,Vandal Kingdom of North Africa,contraction,5,north_africa,1,0,0,1,1,0,-47
umayyad_caliphate,Umayyad Caliphate,idrisid_dynasty,Idrisid Dynasty,contraction,5,north_africa,1,0,0,1,1,0,38
umayyad_caliphate,Umayyad Caliphate,aghlabid_dynasty,Aghlabid Dynasty,contraction,5,north_africa,1,0,0,1,1,0,50
almohad_caliphate,Almohad Caliphate,saadian_dynasty,Saadian Dynasty,contraction,5,,0,1,0,1,0,0,280
han_dynasty,Han Dynasty,northern_dynasties,Northern Dynasties,contraction,5,,0,1,0,1,0,0,166
han_dynasty,Han Dynasty,southern_dynasties,Southern Dynasties,contraction,5,,0,1,0,1,0,0,200
sui_dynasty,Sui Dynasty,five_dynasties,Five Dynasties (North China),contraction,5,,0,1,0,1,0,0,289
sui_dynasty,Sui Dynasty,ten_kingdoms,Ten Kingdoms (South China),contraction,5,,0,1,0,1,0,0,289
tang_dynasty,Tang Dynasty,southern_song,Southern Song Dynasty,contraction,5,,0,1,0,1,0,0,220
rashidun_caliphate,Rashidun Caliphate,fatimid_caliphate,Fatimid Caliphate,contraction,5,,0,1,0,1,0,0,248
umayyad_caliphate,Umayyad Caliphate,fatimid_caliphate,Fatimid Caliphate,contraction,5,,0,1,0,1,0,0,159
kara_khanid_khanate,Kara-Khanid Khanate,khanate_of_bukhara,Khanate of Bukhara,contraction,5,,0,1,0,1,0,0,288
kara_khanid_khanate,Kara-Khanid Khanate,khanate_of_khiva,Khanate of Khiva,contraction,5,,0,1,0,1,0,0,299
ghaznavid_empire,Ghaznavid Empire,timurid_empire,Timurid Empire,contraction,5,,0,1,0,1,0,0,184
ghaznavid_empire,Ghaznavid Empire,gujarat_sultanate,Gujarat Sultanate,contraction,5,,0,1,0,1,0,0,221
median_kingdom,Median Kingdom,achaemenid_empire,Achaemenid Empire,expansion,5,caucasus|iran_plateau,2,0,0,0,1,0,0
chagatai_khanate,Chagatai Khanate,golden_horde,Golden Horde,expansion,5,central_asian_steppe,1,1,0,0,1,0,-105
maratha_empire,Maratha Empire,republic_of_india,Republic of India,expansion,5,deccan,1,1,0,0,1,0,129
mamluk_sultanate,Mamluk Sultanate,ottoman_empire,Ottoman Empire,expansion,5,egypt|levant,2,1,0,0,0,0,-218
bengal_sultanate,Bengal Sultanate,mughal_empire,Mughal Empire,expansion,5,ganges_plain,1,1,0,0,0,0,-50
malwa_sultanate,Malwa Sultanate,sur_empire,Sur Empire,expansion,5,ganges_plain,1,0,0,1,1,0,-22
elam,Kingdom of Elam,achaemenid_empire,Achaemenid Empire,expansion,5,iran_plateau,1,1,0,0,0,0,-11
sassanid_empire,Sassanid Empire,umayyad_caliphate,Umayyad Caliphate,expansion,5,iran_plateau|khorasan|mesopotamia,3,0,0,0,0,0,10
saffarid_dynasty,Saffarid Dynasty,seljuk_empire,Seljuk Empire,expansion,5,iran_plateau|khorasan,2,0,0,1,0,0,34
buyid_dynasty,Buyid Dynasty,seljuk_empire,Seljuk Empire,expansion,5,iran_plateau|mesopotamia,2,0,0,1,0,0,-25
seljuk_empire,Seljuk Empire,mongol_empire,Mongol Empire,expansion,5,iran_plateau|khorasan|mesopotamia|transoxiana,4,0,0,0,0,0,12
zand_dynasty,Zand Dynasty,pahlavi_dynasty,Pahlavi Dynasty,expansion,5,iran_plateau,1,1,0,0,1,0,131
samanid_empire,Samanid Empire,seljuk_empire,Seljuk Empire,expansion,5,khorasan|transoxiana,2,0,0,1,0,0,38
saffarid_dynasty,Saffarid Dynasty,ghaznavid_empire,Ghaznavid Empire,expansion,5,khorasan,1,0,0,1,1,0,-26
ming_dynasty,Ming Dynasty,qing_dynasty,Qing Dynasty (Manchu),expansion,5,manchuria|yangtze|yellow_river,3,0,0,0,0,0,0
rustamid_dynasty,Rustamid Dynasty,fatimid_caliphate,Fatimid Caliphate,expansion,5,north_africa,1,0,0,1,0,0,0
aghlabid_dynasty,Aghlabid Dynasty,fatimid_caliphate,Fatimid Caliphate,expansion,5,north_africa,1,0,0,1,0,0,0
